SENTENCE	BEFORE	AFTER
1	acceptable	acceptable
2	acceptable	acceptable
3	acceptable	acceptable
4	acceptable	acceptable
5	acceptable	acceptable
6	acceptable	acceptable
7	acceptable	acceptable
8	acceptable	acceptable
9	acceptable	acceptable
10	acceptable	acceptable
11	acceptable	acceptable
12	acceptable	acceptable
13	acceptable	acceptable
14	acceptable	acceptable
15	acceptable	acceptable
16	acceptable	acceptable
17	acceptable	acceptable
18	acceptable	acceptable
19	acceptable	acceptable
20	acceptable	acceptable
21	acceptable	acceptable
22	acceptable	acceptable
23	acceptable	acceptable
24	acceptable	acceptable
25	acceptable	acceptable
26	acceptable	acceptable
27	acceptable	acceptable
28	acceptable	acceptable
29	acceptable	acceptable
30	acceptable	acceptable
31	acceptable	acceptable
32	acceptable	unacceptable
33	acceptable	unacceptable
34	acceptable	unacceptable
35	acceptable	unacceptable
36	acceptable	unacceptable
37	acceptable	unacceptable
38	acceptable	unacceptable
39	acceptable	unacceptable
40	acceptable	unacceptable
41	acceptable	unacceptable
42	acceptable	unacceptable
43	acceptable	unacceptable
44	acceptable	unacceptable
45	acceptable	unacceptable
46	acceptable	unacceptable
47	acceptable	unacceptable
48	acceptable	unacceptable
49	acceptable	unacceptable
50	acceptable	unacceptable
51	acceptable	unacceptable
52	acceptable	unacceptable
53	acceptable	unacceptable
54	acceptable	unacceptable
55	acceptable	unacceptable
56	acceptable	unacceptable
57	acceptable	unacceptable
58	acceptable	unacceptable
59	acceptable	unacceptable
60	acceptable	unacceptable
61	acceptable	unacceptable
62	acceptable	unacceptable
63	acceptable	unacceptable
64	acceptable	unacceptable
65	acceptable	unacceptable
66	acceptable	unacceptable
67	acceptable	unacceptable
68	acceptable	unacceptable
69	acceptable	unacceptable
70	acceptable	unacceptable
71	unacceptable	acceptable
72	unacceptable	acceptable
73	unacceptable	acceptable
74	unacceptable	acceptable
75	unacceptable	acceptable
76	unacceptable	acceptable
77	unacceptable	acceptable
78	unacceptable	acceptable
79	unacceptable	acceptable
80	unacceptable	acceptable
81	unacceptable	acceptable
82	unacceptable	acceptable
83	unacceptable	acceptable
84	unacceptable	unacceptable
85	unacceptable	unacceptable
86	unacceptable	unacceptable
87	unacceptable	unacceptable
88	unacceptable	unacceptable
89	unacceptable	unacceptable
90	unacceptable	unacceptable
91	unacceptable	unacceptable
92	unacceptable	unacceptable
93	unacceptable	unacceptable
94	unacceptable	unacceptable
95	unacceptable	unacceptable
96	unacceptable	unacceptable
97	unacceptable	unacceptable
98	unacceptable	unacceptable
99	unacceptable	unacceptable
100	unacceptable	unacceptable
